rank,previous_position,trend,nation,nation_url,flag_url,nation_full_name,confederation,points,rank_date
64,77,up,,/israel/startseite/verein/5547,https://tmssl.akamaized.net//images/flagge/tiny/74.png?lm=1520611569,Israel,UEFA,23,1992-12-31
65,23,down,,/ecuador/startseite/verein/5750,https://tmssl.akamaized.net//images/flagge/tiny/44.png?lm=1520611569,Ecuador,CONMEBOL,23,1992-12-31
66,18,down,,/japan/startseite/verein/3435,https://tmssl.akamaized.net//images/flagge/tiny/77.png?lm=1520611569,Japan,AFC,22,1992-12-31
67,70,up,,/jamaika/startseite/verein/3671,https://tmssl.akamaized.net//images/flagge/tiny/76.png?lm=1520611569,Jamaica,CONCACAF,22,1992-12-31
68,39,down,,/paraguay/startseite/verein/3581,https://tmssl.akamaized.net//images/flagge/tiny/132.png?lm=1520611569,Paraguay,CONMEBOL,22,1992-12-31
69,53,down,,/mali/startseite/verein/3674,https://tmssl.akamaized.net//images/flagge/tiny/105.png?lm=1520611569,Mali,CAF,22,1992-12-31
70,87,up,,/neuseeland/startseite/verein/9171,https://tmssl.akamaized.net//images/flagge/tiny/120.png?lm=1520611569,New Zealand,OFC,22,1992-12-31
71,135,up,,/kuwait/startseite/verein/3432,https://tmssl.akamaized.net//images/flagge/tiny/89.png?lm=1520611569,Kuwait,AFC,21,1992-12-31
72,128,up,,/zypern/startseite/verein/3668,https://tmssl.akamaized.net//images/flagge/tiny/188.png?lm=1520611569,Cyprus,UEFA,20,1992-12-31
73,161,up,,/malta/startseite/verein/3587,https://tmssl.akamaized.net//images/flagge/tiny/106.png?lm=1520611569,Malta,UEFA,19,1992-12-31
74,105,up,,/madagaskar/startseite/verein/14635,https://tmssl.akamaized.net//images/flagge/tiny/101.png?lm=1520611569,Madagascar,CAF,18,1992-12-31
75,96,up,,/thailand/startseite/verein/5676,https://tmssl.akamaized.net//images/flagge/tiny/167.png?lm=1520611569,Thailand,AFC,18,1992-12-31
77,119,up,,/nordkorea/startseite/verein/15457,https://tmssl.akamaized.net//images/flagge/tiny/86.png?lm=1520611569,North Korea,AFC,16,1992-12-31
78,51,down,,/peru/startseite/verein/3584,https://tmssl.akamaized.net//images/flagge/tiny/133.png?lm=1520611569,Peru,CONMEBOL,16,1992-12-31
79,120,up,,/sierra-leone/startseite/verein/6187,https://tmssl.akamaized.net//images/flagge/tiny/152.png?lm=1520611569,Sierra Leone,CAF,16,1992-12-31
80,112,up,,/tansania/startseite/verein/14666,https://tmssl.akamaized.net//images/flagge/tiny/166.png?lm=1520611569,Tanzania,CAF,15,1992-12-31
81,110,up,,/niger/startseite/verein/14163,https://tmssl.akamaized.net//images/flagge/tiny/123.png?lm=1520611569,Niger,CAF,15,1992-12-31
82,58,down,,/irak/startseite/verein/3560,https://tmssl.akamaized.net//images/flagge/tiny/70.png?lm=1520611569,Iraq,AFC,15,1992-12-31
83,94,up,,/guatemala/startseite/verein/13342,https://tmssl.akamaized.net//images/flagge/tiny/58.png?lm=1520611569,Guatemala,CONCACAF,15,1992-12-31
84,141,up,,/liberia/startseite/verein/9172,https://tmssl.akamaized.net//images/flagge/tiny/95.png?lm=1520611569,Liberia,CAF,15,1992-12-31
85,147,up,,/athiopien/startseite/verein/13941,https://tmssl.akamaized.net//images/flagge/tiny/11.png?lm=1520611569,Ethiopia,CAF,14,1992-12-31
86,63,down,,/albanien/startseite/verein/3561,https://tmssl.akamaized.net//images/flagge/tiny/3.png?lm=1520611569,Albania,UEFA,14,1992-12-31
87,76,down,,/bolivien/startseite/verein/5233,https://tmssl.akamaized.net//images/flagge/tiny/23.png?lm=1520611569,Bolivia,CONMEBOL,14,1992-12-31
88,90,up,,/bahrain/startseite/verein/7214,https://tmssl.akamaized.net//images/flagge/tiny/15.png?lm=1520611569,Bahrain,AFC,13,1992-12-31
89,148,up,,/singapur/startseite/verein/15357,https://tmssl.akamaized.net//images/flagge/tiny/153.png?lm=1520611569,Singapore,AFC,13,1992-12-31
90,134,up,,/republik-kongo/startseite/verein/3702,https://tmssl.akamaized.net//images/flagge/tiny/85.png?lm=1520611569,Republic of the Congo,CAF,13,1992-12-31
91,121,up,,/malaysia/startseite/verein/15738,https://tmssl.akamaized.net//images/flagge/tiny/103.png?lm=1520611569,Malaysia,AFC,13,1992-12-31
92,85,down,,/uganda/startseite/verein/13497,https://tmssl.akamaized.net//images/flagge/tiny/176.png?lm=1520611569,Uganda,CAF,12,1992-12-31
93,146,up,,/litauen/startseite/verein/3851,https://tmssl.akamaized.net//images/flagge/tiny/98.png?lm=1520611569,Lithuania,UEFA,12,1992-12-31
94,125,up,,/faroer/startseite/verein/9173,https://tmssl.akamaized.net//images/flagge/tiny/208.png?lm=1520611569,Faroe Islands,UEFA,12,1992-12-31
95,123,up,,/suriname/startseite/verein/15359,https://tmssl.akamaized.net//images/flagge/tiny/161.png?lm=1520611569,Suriname,CONCACAF,12,1992-12-31
96,86,down,,/syrien/startseite/verein/13674,https://tmssl.akamaized.net//images/flagge/tiny/163.png?lm=1742914013,Syria,AFC,11,1992-12-31
97,62,down,,/burkina-faso/startseite/verein/5872,https://tmssl.akamaized.net//images/flagge/tiny/29.png?lm=1520611569,Burkina Faso,CAF,11,1992-12-31
99,140,up,,/lettland/startseite/verein/3555,https://tmssl.akamaized.net//images/flagge/tiny/92.png?lm=1520611569,Latvia,UEFA,10,1992-12-31
100,145,up,,/burundi/startseite/verein/13943,https://tmssl.akamaized.net//images/flagge/tiny/30.png?lm=1520611569,Burundi,CAF,10,1992-12-31
101,124,up,,/togo/startseite/verein/3815,https://tmssl.akamaized.net//images/flagge/tiny/168.png?lm=1520611569,Togo,CAF,10,1992-12-31
102,89,down,,/angola/startseite/verein/3585,https://tmssl.akamaized.net//images/flagge/tiny/6.png?lm=1520611569,Angola,CAF,10,1992-12-31
103,103,stable,,/luxemburg/startseite/verein/3580,https://tmssl.akamaized.net//images/flagge/tiny/99.png?lm=1520611569,Luxembourg,UEFA,10,1992-12-31
104,159,up,,/eswatini/startseite/verein/13675,https://tmssl.akamaized.net//images/flagge/tiny/162.png?lm=1520611569,Eswatini,CAF,10,1992-12-31
105,171,up,,/st-vincent-und-die-grenadinen/startseite/verein/17762,https://tmssl.akamaized.net//images/flagge/tiny/224.png?lm=1520611569,Saint Vincent and the Grenadines,CONCACAF,9,1992-12-31
106,155,up,,/fidschi/startseite/verein/13955,https://tmssl.akamaized.net//images/flagge/tiny/48.png?lm=1520611569,Fiji,OFC,9,1992-12-31
107,102,down,,/mosambik/startseite/verein/5129,https://tmssl.akamaized.net//images/flagge/tiny/115.png?lm=1520611569,Mozambique,CAF,9,1992-12-31
108,122,up,,/indonesien/startseite/verein/13958,https://tmssl.akamaized.net//images/flagge/tiny/68.png?lm=1520611569,Indonesia,AFC,9,1992-12-31
109,165,up,,/antigua-und-barbuda/startseite/verein/16028,https://tmssl.akamaized.net//images/flagge/tiny/7.png?lm=1520611569,Antigua and Barbuda,CONCACAF,8,1992-12-31
110,64,down,,/jordanien/startseite/verein/15737,https://tmssl.akamaized.net//images/flagge/tiny/78.png?lm=1520611569,Jordan,AFC,8,1992-12-31
111,117,up,,/sudan/startseite/verein/13313,https://tmssl.akamaized.net//images/flagge/tiny/160.png?lm=1520611569,Sudan,CAF,7,1992-12-31
112,176,up,,/mauritius/startseite/verein/14239,https://tmssl.akamaized.net//images/flagge/tiny/109.png?lm=1520611569,Mauritius,CAF,7,1992-12-31
113,10,down,,/kroatien/startseite/verein/3556,https://tmssl.akamaized.net//images/flagge/tiny/37.png?lm=1520611569,Croatia,UEFA,7,1992-12-31
114,178,up,,/barbados/startseite/verein/16030,https://tmssl.akamaized.net//images/flagge/tiny/17.png?lm=1520611569,Barbados,CONCACAF,7,1992-12-31
115,149,up,,/jemen/startseite/verein/15922,https://tmssl.akamaized.net//images/flagge/tiny/186.png?lm=1520611569,Yemen,AFC,6,1992-12-31
116,79,down,,/oman/startseite/verein/14165,https://tmssl.akamaized.net//images/flagge/tiny/126.png?lm=1520611569,Oman,AFC,6,1992-12-31
117,133,up,,/guinea-bissau/startseite/verein/3701,https://tmssl.akamaized.net//images/flagge/tiny/60.png?lm=1520611569,Guinea-Bissau,CAF,6,1992-12-31
118,167,up,,/st-lucia/startseite/verein/17761,https://tmssl.akamaized.net//images/flagge/tiny/230.png?lm=1520611569,Saint Lucia,CONCACAF,6,1992-12-31
119,153,up,,/hongkong/startseite/verein/15977,https://tmssl.akamaized.net//images/flagge/tiny/218.png?lm=1520611569,Hong Kong,AFC,5,1992-12-31
120,30,down,,/panama/startseite/verein/3577,https://tmssl.akamaized.net//images/flagge/tiny/130.png?lm=1520611569,Panama,CONCACAF,5,1992-12-31
121,164,up,,/grenada/startseite/verein/14175,https://tmssl.akamaized.net//images/flagge/tiny/55.png?lm=1520611569,Grenada,CONCACAF,5,1992-12-31
122,156,up,,/puerto-rico/startseite/verein/17759,https://tmssl.akamaized.net//images/flagge/tiny/228.png?lm=1520611569,Puerto Rico,CONCACAF,5,1992-12-31
123,157,up,,/tahiti/startseite/verein/17763,https://tmssl.akamaized.net//images/flagge/tiny/237.png?lm=1520611569,Tahiti,OFC,5,1992-12-31
124,61,down,,/sudafrika/startseite/verein/3806,https://tmssl.akamaized.net//images/flagge/tiny/159.png?lm=1520611569,South Africa,CAF,5,1992-12-31
125,48,down,,/venezuela/startseite/verein/3504,https://tmssl.akamaized.net//images/flagge/tiny/182.png?lm=1520611569,Venezuela,CONMEBOL,5,1992-12-31
126,210,up,,/san-marino/startseite/verein/10521,https://tmssl.akamaized.net//images/flagge/tiny/144.png?lm=1520611569,San Marino,UEFA,4,1992-12-31
127,92,down,,/benin/startseite/verein/3955,https://tmssl.akamaized.net//images/flagge/tiny/21.png?lm=1520611569,Benin,CAF,4,1992-12-31
127,92,down,,/benin/startseite/verein/3955,https://tmssl.akamaized.net//images/flagge/tiny/21.png?lm=1520611569,Benin,CAF,4,1992-12-31
128,151,up,,/guyana/startseite/verein/15736,https://tmssl.akamaized.net//images/flagge/tiny/61.png?lm=1520611569,Guyana,CONCACAF,4,1992-12-31
129,28,down,,/ukraine/startseite/verein/3699,https://tmssl.akamaized.net//images/flagge/tiny/177.png?lm=1520611569,Ukraine,UEFA,4,1992-12-31
130,84,down,,/haiti/startseite/verein/14161,https://tmssl.akamaized.net//images/flagge/tiny/62.png?lm=1520611569,Haiti,CONCACAF,4,1992-12-31
131,55,down,,/slowenien/startseite/verein/3588,https://tmssl.akamaized.net//images/flagge/tiny/155.png?lm=1520611569,Slovenia,UEFA,3,1992-12-31
132,130,down,,/estland/startseite/verein/6133,https://tmssl.akamaized.net//images/flagge/tiny/47.png?lm=1520611569,Estonia,UEFA,3,1992-12-31
133,180,up,,/bangladesch/startseite/verein/15033,https://tmssl.akamaized.net//images/flagge/tiny/16.png?lm=1520611569,Bangladesh,AFC,3,1992-12-31
134,115,down,,/mauretanien/startseite/verein/14238,https://tmssl.akamaized.net//images/flagge/tiny/108.png?lm=1520611569,Mauritania,CAF,3,1992-12-31
135,67,down,,/kap-verde/startseite/verein/4311,https://tmssl.akamaized.net//images/flagge/tiny/32.png?lm=1520611569,Cape Verde,CAF,3,1992-12-31
136,152,up,,/salomon-inseln/startseite/verein/15740,https://tmssl.akamaized.net//images/flagge/tiny/69.png?lm=1520611569,Solomon Islands,OFC,2,1992-12-31
137,111,down,,/libyen/startseite/verein/6602,https://tmssl.akamaized.net//images/flagge/tiny/96.png?lm=1520611569,Libya,CAF,2,1992-12-31
139,138,down,,/botsuana/startseite/verein/15229,https://tmssl.akamaized.net//images/flagge/tiny/25.png?lm=1520611569,Botswana,CAF,2,1992-12-31
140,188,up,,/brunei-darussalam/startseite/verein/14233,https://tmssl.akamaized.net//images/flagge/tiny/27.png?lm=1520611569,Brunei Darussalam,AFC,2,1992-12-31
141,143,up,,/dominikanische-republik/startseite/verein/15232,https://tmssl.akamaized.net//images/flagge/tiny/43.png?lm=1520611569,Dominican Republic,CONCACAF,2,1992-12-31
142,144,up,,/lesotho/startseite/verein/13962,https://tmssl.akamaized.net//images/flagge/tiny/93.png?lm=1520611569,Lesotho,CAF,2,1992-12-31
143,142,down,,/indien/startseite/verein/13957,https://tmssl.akamaized.net//images/flagge/tiny/67.png?lm=1520611569,India,AFC,2,1992-12-31
144,166,up,,/kuba/startseite/verein/3808,https://tmssl.akamaized.net//images/flagge/tiny/88.png?lm=1520611569,Cuba,CONCACAF,1,1992-12-31
145,199,up,,/pakistan/startseite/verein/15352,https://tmssl.akamaized.net//images/flagge/tiny/128.png?lm=1520611569,Pakistan,AFC,1,1992-12-31
146,99,down,,/belarus/startseite/verein/3450,https://tmssl.akamaized.net//images/flagge/tiny/18.png?lm=1520611569,Belarus,UEFA,1,1992-12-31
147,203,up,,/seychellen/startseite/verein/3562,https://tmssl.akamaized.net//images/flagge/tiny/151.png?lm=1520611569,Seychelles,CAF,1,1992-12-31
148,139,down,,/zentralafrikanische-republik/startseite/verein/12933,https://tmssl.akamaized.net//images/flagge/tiny/138.png?lm=1520611569,Central African Republic,CAF,1,1992-12-31
149,182,up,,/nepal/startseite/verein/15350,https://tmssl.akamaized.net//images/flagge/tiny/119.png?lm=1520611569,Nepal,AFC,1,1992-12-31
150,116,down,,/gambia/startseite/verein/6186,https://tmssl.akamaized.net//images/flagge/tiny/52.png?lm=1520611569,The Gambia,CAF,1,1992-12-31
151,97,down,,/aquatorialguinea/startseite/verein/13485,https://tmssl.akamaized.net//images/flagge/tiny/8.png?lm=1520611569,Equatorial Guinea,CAF,-,1992-12-31
152,163,up,,/myanmar/startseite/verein/16423,https://tmssl.akamaized.net//images/flagge/tiny/116.png?lm=1520611569,Myanmar,AFC,-,1992-12-31
153,205,up,,/liechtenstein/startseite/verein/5673,https://tmssl.akamaized.net//images/flagge/tiny/97.png?lm=1520611569,Liechtenstein,UEFA,-,1992-12-31
154,132,down,,/nicaragua/startseite/verein/15351,https://tmssl.akamaized.net//images/flagge/tiny/121.png?lm=1520611569,Nicaragua,CONCACAF,-,1992-12-31
155,177,up,,/tschad/startseite/verein/13978,https://tmssl.akamaized.net//images/flagge/tiny/171.png?lm=1520611569,Chad,CAF,-,1992-12-31
156,174,up,,/chinesisch-taipeh-taiwan-/startseite/verein/15363,https://tmssl.akamaized.net//images/flagge/tiny/164.png?lm=1679300082,Chinese Taipei,AFC,-,1992-12-31
157,136,down,,/philippinen/startseite/verein/15234,https://tmssl.akamaized.net//images/flagge/tiny/134.png?lm=1520611569,Philippines,AFC,-,1992-12-31
158,118,down,,/namibia/startseite/verein/3573,https://tmssl.akamaized.net//images/flagge/tiny/117.png?lm=1520611569,Namibia,CAF,-,1992-12-31
159,160,up,,/vanuatu/startseite/verein/15238,https://tmssl.akamaized.net//images/flagge/tiny/181.png?lm=1520611569,Vanuatu,OFC,-,1992-12-31
160,191,up,,/aruba/startseite/verein/17749,https://tmssl.akamaized.net//images/flagge/tiny/233.png?lm=1520611569,Aruba,CONCACAF,-,1992-12-31
161,108,down,,/libanon/startseite/verein/3586,https://tmssl.akamaized.net//images/flagge/tiny/94.png?lm=1520611569,Lebanon,AFC,-,1992-12-31
162,206,up,,/bahamas/startseite/verein/15918,https://tmssl.akamaized.net//images/flagge/tiny/14.png?lm=1520611569,Bahamas,CONCACAF,-,1992-12-31
163,173,up,,/malediven/startseite/verein/15456,https://tmssl.akamaized.net//images/flagge/tiny/104.png?lm=1520611569,Maldives,AFC,-,1992-12-31
163,131,down,,/ruanda/startseite/verein/3855,https://tmssl.akamaized.net//images/flagge/tiny/139.png?lm=1520611569,Rwanda,CAF,-,1992-12-31
163,200,up,,/somalia/startseite/verein/13974,https://tmssl.akamaized.net//images/flagge/tiny/156.png?lm=1520611569,Somalia,CAF,-,1992-12-31
1,9,up,,/deutschland/startseite/verein/3262,https://tmssl.akamaized.net//images/flagge/tiny/40.png?lm=1520612525,Germany,UEFA,58,1993-08-08
2,12,up,,/italien/startseite/verein/3376,https://tmssl.akamaized.net//images/flagge/tiny/75.png?lm=1520611569,Italy,UEFA,57,1993-08-08
3,17,up,,/schweiz/startseite/verein/3384,https://tmssl.akamaized.net//images/flagge/tiny/148.png?lm=1520611569,Switzerland,UEFA,57,1993-08-08
4,43,up,,/schweden/startseite/verein/3557,https://tmssl.akamaized.net//images/flagge/tiny/147.png?lm=1520611569,Sweden,UEFA,56,1993-08-08
5,2,down,,/argentinien/startseite/verein/3437,https://tmssl.akamaized.net//images/flagge/tiny/9.png?lm=1520611569,Argentina,CONMEBOL,56,1993-08-08
6,59,up,,/irland/startseite/verein/3509,https://tmssl.akamaized.net//images/flagge/tiny/72.png?lm=1520611569,Republic of Ireland,UEFA,55,1993-08-08
7,33,up,,/russland/startseite/verein/3448,https://tmssl.akamaized.net//images/flagge/tiny/141.png?lm=1520611569,Russia,UEFA,55,1993-08-08
8,5,down,,/brasilien/startseite/verein/3439,https://tmssl.akamaized.net//images/flagge/tiny/26.png?lm=1520611569,Brazil,CONMEBOL,54,1993-08-08
9,29,up,,/norwegen/startseite/verein/3440,https://tmssl.akamaized.net//images/flagge/tiny/125.png?lm=1520611569,Norway,UEFA,54,1993-08-08
10,21,up,,/danemark/startseite/verein/3436,https://tmssl.akamaized.net//images/flagge/tiny/39.png?lm=1520611569,Denmark,UEFA,53,1993-08-08
11,4,down,,/england/startseite/verein/3299,https://tmssl.akamaized.net//images/flagge/tiny/189.png?lm=1520611569,England,UEFA,53,1993-08-08
12,3,down,,/frankreich/startseite/verein/3377,https://tmssl.akamaized.net//images/flagge/tiny/50.png?lm=1520611569,France,UEFA,52,1993-08-08
13,1,down,,/spanien/startseite/verein/3375,https://tmssl.akamaized.net//images/flagge/tiny/157.png?lm=1520611569,Spain,UEFA,51,1993-08-08
14,15,up,,/mexiko/startseite/verein/6303,https://tmssl.akamaized.net//images/flagge/tiny/110.png?lm=1520611569,Mexico,CONCACAF,50,1993-08-08
